Artista,Alternative_Name
The Jackson 5,The Jacksons
The Jackson 5,Jackson 5
The Carpenters,Carpenters
Dawn,Tony Orlando & Dawn
The Brotherhood of Man,Brotherhood of Man
The Four Tops,Four Tops
Alive N Kickin’,Alive 'n Kickin'
Tee Set,Tee-Set
Dawn,Tony Orlando and Dawn
Grass Roots,The Grass Roots
Paul Revere & the Raiders,Paul Revere and the Raiders
Delaney & Bonnie,Delaney & Bonnie & Friends
Dr. Hook,Dr. Hook & The Medicine Show
The Chi-Lites,The Chi‐Lites
Commander Cody and His Lost Planet Airmen,Commander Cody & His Lost Planet Airmen
The Main Ingredient,Main Ingredient
Art Garfunkel,Garfunkel
Bobby ‘Boris’ Pickett,Bobby “Boris” Pickett
Loggins and Messina,Loggins & Messina
Seals and Crofts,Seals & Crofts
Charlie Daniels Band,The Charlie Daniels Band
The DeFranco Family,The DeFranco Family featuring Tony DeFranco
Deodato,Eumir Deodato
The First Class,First Class
Plastic Ono Band, The Plastic Ono Band
Olivia Newton-John,Olivia Newton‐John
Donny and Marie Osmond,Donny & Marie Osmond
Grand Funk,Grand Funk Railroad
Ozark Mountain Daredevils,The Ozark Mountain Daredevils
Four Seasons,The Four Seasons
Bazuka,Tony Camillo’s Bazuka
Hall & Oates,Daryl Hall & John Oates
Blue Oyster Cult,Blue Öyster Cult
Andrea True Connection,The Andrea True Connection
C. W. McCall,C.W. McCall
Harold Melvin & the Blue Notes,Harold Melvin & The Blue Note
Wing and a Prayer Fife and Drum Corps,Wing & A Prayer Fife & Drum Corps
Pratt and McClain,Pratt & McClain
Walter Murphy,Walter Murphy & The Big Apple Band
Bob Seger & The Silver Bullet Band,Bob Seger & the Silver Bullet Band
Lord David Dundas,David Dundas
KC & the Sunshine Band,KC and the Sunshine Band