Artista,Nacionality
The Jackson 5,US
The Beatles,GB
Simon & Garfunkel,US
Norman Greenbaum,US
Edison Lighthouse,GB
Joe Cocker,GB
Frijid Pink,US
James Taylor,US
Mungo Jerry,GB
Bread,US
Edwin Starr,
Shocking Blue,NL
The Guess Who,CA
The Kinks,GB
Neil Diamond,US
B.J. Thomas,US
Chicago,US
The Carpenters,US
Vanity Fare,GB
Badfinger,GB
"Peter, Paul and Mary",US
Santana,US
Rare Earth,US
Charles Wright & the Watts 103rd Street Rhythm Band,US
The Hollies,GB
Three Dog Night,US
The Jaggerz,US
Free,GB
Eric Burdon,GB
War,US
Sly & the Family Stone,US
Mark Lindsay,US
Bobby Sherman,US
John Lennon,GB
The Delfonics,US
The Ides of March,US
Anne Murray,CA
Blues Image,US
"Crosby, Stills, Nash & Young",US
Brook Benton,US
Eddie Holman,US
the Archies,US
Dawn,US
Sugarloaf,US
The Brotherhood of Man,GB
The Four Tops,US
R.B. Greaves,US
Marmalade,GB
The Temptations,US
Clarence Carter,US
Ferrante and Teicher,US
Freda Payne,US
Steam,US
The Moments,US
Alive N Kickin’,US
Chairmen of the Board,US
Tyrone Davis,US
Ray Stevens,US
Aretha Franklin,US
the Dixie Flyers,CA
Tee Set,NL
The Supremes,US
Melanie,US
White Plains,GB
The Poppy Family,CA
R. Dean Taylor,CA
Stevie Wonder,US
The Friends of Distinction,US
The Pipkins,GB
Diana Ross,US
Tom Jones,
The Supremes,US
Tommy Roe,US
Bobbi Martin,US
Kenny Rogers & The First Edition,US
Dionne Warwick,US
Ronnie Dyson,US
100 Proof (Aged in Soul),US
Elton John,GB
Cat Stevens,GB
Ike & Tina Turner,
John Denver,US
John Lennon,GB
Plastic Ono Band,GB
The Partridge Family,US
Al Green,US
The Doors,US
Aretha Franklin,US
Janis Joplin,US
Marvin Gaye,US
Van Morrison,
Brian Hyland,US
The Rolling Stones,GB
Gordon Lightfoot,CA
Bee Gees,GB
Five Man Electrical Band,CA
Lynn Anderson,US
Jean Knight,US
Joan Baez,US
The Stampeders,CA
The Dramatics,US
Dawn,US
Andy Williams,US
Cher,US
Isaac Hayes,US
Lobo,US
Smokey Robinson,US
The Miracles,US
Jerry Reed,US
Bill Withers,US
King Floyd,US
Sammi Smith,US
Grass Roots,US
Nitty Gritty Dirt Band,US
Honey Cone,US
The Osmonds,US
Wadsworth Mansion,US
Cornelius Brothers & Sister Rose,US
The Bells,CA
Tommy James,US
The Undisputed Truth,US
Ray Price,US
Brewer & Shipley,US
Paul Revere & the Raiders,US
Gladys Knight & the Pips,US
Lee Michaels,US
The 5th Dimension,US
Dave Edmunds,GB
Delaney & Bonnie & Friends,US
Ringo Starr,GB
Donny Osmond,US
The Partridge Family,US
Barbra Streisand,US
Ocean,CA
Bobby Goldsboro,US
Helen Reddy,AU
Perry Como,US
Daddy Dewdrop,US
"Hamilton, Joe Frank & Reynolds",US
Wilson Pickett,US
8th Day,US
Carly Simon,US
The Free Movement,US
THE LAZY RIVER,
The Doobie Brothers,US
Apollo 100,GB
Roberta Flack,US
Donny Hathaway,US
America,US
Don McLean,US
Elvis Presley,US
Harry Nilsson,US
Johnny Nash,US
Michael Jackson,US
Derek and the Dominos,US
Mouth & MacNeal,NL
Neil Young,CA
Alice Cooper,US
Jonathan Edwards,US
Hot Butter,US
Jackson Browne,US
Gilbert O’Sullivan,IE
The Moody Blues,GB
Jim Croce,US
T. Rex,GB
The Rolling Stones,GB
David Cassidy,US
Robert John,US
Eagles,US
Raspberries,US
the Stylistics,US
Roberta Flack,US
Dennis Coffey,US
Dr. Hook,US
The O’Jays,US
Paul Simon,US
Betty Wright,US
The Chi-Lites,US
Daniel Boone,GB
Ricky Nelson,US
Sonny & Cher,US
"GOLLY, WOW",
Commander Cody and His Lost Planet Airmen,US
Donna Fargo,US
Curtis Mayfield,US
Mac Davis,US
The Main Ingredient,US
The Chakachas,BE
Carole King,US
Luther Ingram,US
Climax,US
Argent,GB
Joe Simon,US
Billy Preston,US
Sammy Davis Jr.,US
The Mike Curb Congregation,US
Chuck Berry,US
Gallery,US
Joe Tex,US
Looking Glass,US
Danny O’Keefe,US
Gary Glitter,GB
The Jimmy Castor Bunch,US
Wayne Newton,US
The Staple Singers,US
The Hillside Singers,US
The New Seekers,GB
Skylark,IT
Paul McCartney,GB
Wings,GB
Kris Kristofferson,US
Edward Bear,CA
Stealers Wheel,GB
King Harvest,US
Stories,US
B.W. Stevenson,US
Steely Dan,
The Doobie Brothers,US
Dobie Gray,US
Albert Hammond,GB
The Allman Brothers Band,US
Billy Paul,US
Vicki Lawrence,US
Deep Purple,GB
George Harrison,GB
Grand Funk Railroad,US
Art Garfunkel,US
Dr. John,US
The Edgar Winter Group,US
Barry White,US
Bloodstone,US
Bobby ‘Boris’ Pickett,US
The Isley Brothers,US
Loggins and Messina,US
Seals and Crofts,US
Timmy Thomas,US
Johnnie Taylor,US
Focus,NL
War,US
Bette Midler,US
Sylvia,US
The Stylistics,US
Eric Weissberg,US
Steve Mandell,US
Charlie Daniels Band,US
Maureen McGovern,US
Sweet,GB
The Spinners,US
Eddie Kendricks,US
Marie Osmond,US
Johnny Rivers,US
The Pointer Sisters,US
The DeFranco Family,CA
Jermaine Jackson,US
Clint Holmes,US
Hurricane Smith,US
Deodato,BR
New York City,
Carly Simon,US
James Taylor,US
Redbone,US
Lynyrd Skynyrd,US
Bad Company,GB
ABBA,SE
Steve Miller Band,US
The First Class,GB
Kool & the Gang,US
Mocedades,ES
David Essex,GB
Blue Swede,SE
The Hues Corporation,US
Joni Mitchell,CA
Eric Clapton,GB
Byron MacGregor,
Bobby Womack,US
Terry Jacks,CA
Charlie Rich,US
Brownsville Station,US
William DeVaughn,US
Todd Rundgren,US
Rufus,US
Chaka Khan,US
Andy Kim,US
Blue Magic,US
George McCrae,US
Marvin Hamlisch,US
Johnny Bristol,US
Sister Janet Mead,AU
Maria Muldaur,US
Olivia Newton-John,AU
Paper Lace,GB
Mike Oldfield,GB
Al Wilson,US
Dave Loggins,US
MFSB,US
The Three Degrees,US
Dionne Warwick,US
Bo Donaldson and The Heywoods,US
Jim Stafford,US
B.T. Express,US
The Righteous Brothers,US
Love Unlimited Orchestra,US
The Guess Who,CA
Wolfman Jack,US
Bobby Vinton,US
Donny and Marie Osmond,US
Paul Anka,CA
Odia Coates,US
The Ritchie Family,US
Pilot,GB
Styx,US
Natalie Cole,US
Neil Sedaka,US
Grand Funk,US
Michael Martin Murphey,US
Carl Douglas,JM
Ohio Players,US
Ace,GB
Minnie Riperton,US
LaBelle,US
Barry Manilow,US
Hot Chocolate,GB
Glen Campbell,US
Morris Albert,BR
"Earth, Wind & Fire",US
Orleans,US
Captain & Tennille,US
Frankie Valli,US
David Bowie,
Jefferson Starship,US
Linda Ronstadt,US
Gloria Gaynor,US
KC and the Sunshine Band,US
Ozark Mountain Daredevils,US
Average White Band,GB
Four Seasons,US
Janis Ian,US
Freddy Fender,US
Sammy Johns,US
Van McCoy & the Soul City Symphony,US
Melissa Manchester,US
Wings,GB
The Blackbyrds,US
Phoebe Snow,US
Donny & Marie Osmond,US
David Geddes,US
Tavares,US
10cc,GB
Major Harris,US
Mike Post,US
Bazuka,US
Electric Light Orchestra,GB
Carol Douglas,US
Harry Chapin,US
Jessi Colter,US
Aerosmith,US
MYSELF,
Hall & Oates,US
Bay City Rollers,GB
Blue Oyster Cult,US
Fleetwood Mac,GB
The Four Seasons,US
The Miracles,US
Wild Cherry,US
Queen,GB
Commodores,US
The Bellamy Brothers,US
Nazareth,GB
Peter Frampton,GB
Andrea True Connection,US
Boz Scaggs,US
Maxine Nightingale,GB
Elvin Bishop,US
Starland Vocal Band,US
The Manhattans,US
C. W. McCall,US
Heart,US
Gary Wright,US
Rhythm Heritage,US
Harold Melvin & the Blue Notes,US
Wing and a Prayer Fife and Drum Corps,US
Dr. Hook,US
Dorothy Moore,US
John Sebastian,US
Pratt and McClain,US
Donna Summer,US
Walter Murphy,US
Seals and Crofts,US
Carolyn Willis,US
David Ruffin,US
Silver Convention,DE
The Sylvers,US
Cliff Richard,GB
Paul Anka,CA
Starbuck,US
Henry Gross,US
George Benson,US
Vicki Sue Robinson,US
Rick Dees & His Cast of Idiots,US
Elton John,GB
Kiki Dee,GB
Lou Rawls,US
England Dan & John Ford Coley,US
The Brothers Johnson,US
Barry DeVorzon,US
Perry Botkin Jr.,US
The Beach Boys,US
Daryl Hall & John Oates,US
Boston,
Andrew Gold,US
Kansas,US
The Floaters,US
Bob Seger & The Silver Bullet Band,US
Jimmy Buffett,US
Stephen Bishop,US
Atlanta Rhythm Section,US
Foreigner,US
Lord David Dundas,GB
Peter McCann,US
Andy Gibb,AU
Bill Conti,US
Burton Cummings,
Leo Sayer,GB
THE LIGHT,
Kenny Rogers,US
"Crosby, Stills & Nash",US
Heatwave,GB
Hot,US
The Marshall Tucker Band,US
Al Stewart,GB
Debby Boone,US
Mary MacGregor,US
Shaun Cassidy,US
Thelma Houston,US
Pablo Cruise,US
Rose Royce,US
Sanford-Townsend Band,US
Brick,US
Firefall,US
William Bell,US
Rita Coolidge,US
Jennifer Warnes,US
Engelbert Humperdinck,GB
Marilyn McCoo,US
Billy Davis Jr.,US
Alan O’Day,US
Kenny Nolan,US
Paul Nicholas,GB
David Soul,US
Crystal Gayle,US
Climax Blues Band,GB
Rod Stewart,GB
Billy Joel,US
Parliament,US
Evelyn “Champagne” King,US
Gerry Rafferty,GB
The Trammps,US
Rick James,US
Samantha Sang,AU
Leif Garrett,US
Little River Band,AU
John Paul Young,AU
Yvonne Elliman,US
Ambrosia,US
David Gates,US
Dolly Parton,US
Michael Johnson,US
The Who,GB
Dan Hill,CA
Foxy,US
Peter Brown,US
Raydio,US
John Travolta,US
Olivia Newton-John,AU
Player,US
Meat Loaf,US
Paul Davis,US
Eddie Money,US
Exile,US
A Taste of Honey,US
Chuck Mangione,US
Kenny Loggins,US
Stevie Nicks,US
Jay Ferguson,US
Walter Egan,US
Alicia Bridges,US
Bob Welch,US
Chris Rea,GB
Nick Gilder,CA
Randy Newman,US
L.T.D.,US
Chic,US
Johnny Mathis,US
Deniece Williams,US
High Inergy,US
Joe Walsh,US
Toby Beau,US
Bonnie Tyler,GB
Suzi Quatro,US
Chris Norman,GB
Toto,US
KISS,US
Herb Alpert,US
John Stewart,US
The Emotions,US
Bobby Caldwell,US
Donna Summer,US
Brooklyn Dreams,US
KC & the Sunshine Band,US
Nicolette Larson,US
Patrick Hernandez,FR
Ian Matthews,GB
Supertramp,GB
The Knack,US
Sister Sledge,US
The Charlie Daniels Band,US
Dire Straits,GB
Cheap Trick,US
Cheryl Lynn,US
Blondie,US
Randy VanWarmer,US
Village People,US
Anita Ward,US
Journey,US
Robert Palmer,GB
Peaches & Herb,US
Amii Stewart,US
Gino Vannelli,CA
Ace Frehley,US
M,GB
Neil Diamond,US
Barbra Streisand,US
Nick Lowe,GB
David Naughton,US
Rex Smith,US
Frank Mills,CA
Bonnie Pointer,US
McFadden & Whitehead,US
Rickie Lee Jones,US
GQ,US
